sessid,rat,date,tethered
761190,T249,17-Jan-2020 00:00:00,0
761513,T249,18-Jan-2020 00:00:00,0
761806,T249,19-Jan-2020 00:00:00,0
762102,T249,20-Jan-2020 00:00:00,0
762410,T249,21-Jan-2020 00:00:00,0
762712,T249,22-Jan-2020 00:00:00,0
763018,T249,23-Jan-2020 00:00:00,0
763326,T249,24-Jan-2020 00:00:00,0
763630,T249,25-Jan-2020 00:00:00,0
763941,T249,26-Jan-2020 00:00:00,0
764220,T249,27-Jan-2020 00:00:00,0
764265,T249,27-Jan-2020 00:00:00,0
764542,T249,28-Jan-2020 00:00:00,0
764877,T249,29-Jan-2020 00:00:00,0
765192,T249,30-Jan-2020 00:00:00,0
765499,T249,31-Jan-2020 00:00:00,0
766047,T249,02-Feb-2020 00:00:00,0
766311,T249,03-Feb-2020 00:00:00,0
766380,T249,03-Feb-2020 00:00:00,0
766627,T249,04-Feb-2020 00:00:00,0
766680,T249,04-Feb-2020 00:00:00,0
766945,T249,05-Feb-2020 00:00:00,0
767004,T249,05-Feb-2020 00:00:00,0
